tile_id,year,area_ha
118946_1313825,2019,264.7823921568626
118946_1313825,2020,2.01
118946_1313825,2021,6.18
118946_1313825,2022,27.99
118946_1313825,2023,6.78
118946_1313825,2024,0.47
118946_1338825,2019,854.380588235294
118946_1338825,2020,29.68
118946_1338825,2021,188.3180392156863
118946_1338825,2022,311.91627450980394
118946_1338825,2023,160.70780392156863
118946_1338825,2024,9.02
118946_1363825,2019,1307.841176470588
118946_1363825,2020,17.330000000000002
118946_1363825,2021,506.2880392156864
118946_1363825,2022,188.6806274509804
118946_1363825,2023,277.8310196078432
118946_1363825,2024,21.48780392156863
118946_1388825,2019,1277.373254901961
118946_1388825,2020,24.469686274509804
118946_1388825,2021,713.9811764705883
118946_1388825,2022,504.4004705882356
118946_1388825,2023,1430.2148627450983
118946_1388825,2024,168.3943529411765
118946_1413825,2019,8943.688666666667
118946_1413825,2020,2109.8795294117654
118946_1413825,2021,4949.810666666666
118946_1413825,2022,3937.79074509804
118946_1413825,2023,8390.543568627454
118946_1413825,2024,3105.1005098039223
118946_1438825,2019,9695.794627450983
118946_1438825,2020,6060.385254901963
118946_1438825,2021,13224.520392156868
118946_1438825,2022,15363.249333333337
118946_1438825,2023,19086.14627450981
118946_1438825,2024,16678.97698039209
118946_1463825,2019,25153.210039215606
118946_1463825,2020,14944.841215686272
118946_1463825,2021,22916.755882352903
118946_1463825,2022,26798.860078431288
118946_1463825,2023,32081.924509803837
118946_1463825,2024,28606.570156862697
118946_1488825,2019,48591.44811764693
118946_1488825,2020,42970.53470588222
118946_1488825,2021,45332.99752941165
118946_1488825,2022,50919.43756862733
118946_1488825,2023,52293.84411764693
118946_1488825,2024,51459.18643137244
118946_1513825,2019,47532.03235294108
118946_1513825,2020,46015.73839215675
118946_1513825,2021,48195.29039215676
118946_1513825,2022,51911.19305882343
118946_1513825,2023,51593.10937254891
118946_1513825,2024,50852.31290196068
118946_1538825,2019,60633.74003921556
118946_1538825,2020,59256.820549019496
118946_1538825,2021,59927.88941176459
118946_1538825,2022,61054.476784313614
118946_1538825,2023,61378.70321568614
118946_1538825,2024,60683.04976470576
