,Unnamed: 0,tile_id,year,conflict_intensity,crop_change_ha,crop_change_pct
892,892,293946_1588825,2022,0.4480718838805383,1156.135411764706,35.09611176270235
893,893,293946_1613825,2022,0.0,753.0902352941166,9.982572682331913
894,894,318946_1113825,2022,0.0,475.9454117647065,25.329265521281652
895,895,318946_1138825,2022,0.0,-321.21490196077866,-1.3641729392321889
896,896,318946_1163825,2022,0.0,-2299.329568627436,-4.8558757718968
897,897,318946_1188825,2022,0.0,-3314.5047450980346,-7.247951814403986
898,898,318946_1213825,2022,0.0,-1201.903764705894,-2.481839448389067
899,899,318946_1238825,2022,0.0,-1142.4835294117656,-2.472812669313784
900,900,318946_1263825,2022,0.0,303.2436470588291,0.6803981919302204
901,901,318946_1288825,2022,0.0,712.3552549019514,2.0381884999849165
902,902,318946_1313825,2022,0.0,-559.0768235294308,-2.42554100234339
903,903,318946_1338825,2022,0.0,250.47239215686272,21.145241469337073
904,904,318946_1363825,2022,0.0,264.02345098039586,1.9849614200023513
905,905,318946_1388825,2022,1.2989469745541835,176.10749019609648,0.3488023374432325
906,906,318946_1413825,2022,2.725259295812106,-831.2042352940989,-2.1703670292548605
907,907,318946_1438825,2022,0.0,-852.7867843137246,-4.004935991037206
908,908,318946_1463825,2022,0.0,61.444588235301126,0.5809196493534063
909,909,318946_1488825,2022,0.0,1513.9453333333367,8.144393696558083
910,910,318946_1513825,2022,0.0,2634.1319215686162,11.494962612781045
911,911,318946_1538825,2022,0.0,-2940.1784313725475,-13.764440359216024
912,912,318946_1563825,2022,0.6744045164510241,-908.7059215686277,-21.232883107714716
913,913,318946_1588825,2022,0.4577580074287591,-109.5365882352935,-3.597284741824003
914,914,318946_1613825,2022,0.0,-201.75215686274532,-6.832915034196785
915,915,343946_1088825,2022,0.0,-1490.5271764705903,-7.83212453795038
916,916,343946_1113825,2022,0.0,748.582588235291,4.3306744461403035
917,917,343946_1138825,2022,0.0,-670.342509803937,-1.7528982905076318
918,918,343946_1163825,2022,0.0,-1852.5625882352833,-4.077310175092341
919,919,343946_1188825,2022,0.0,-4167.98431372545,-9.543214034555936
920,920,343946_1213825,2022,0.0,-3159.508235294088,-7.509170785879238
921,921,343946_1238825,2022,0.2706139166176118,-1049.5745882353149,-2.758630564648956
922,922,343946_1263825,2022,0.0,1181.696745098041,4.281485728055312
923,923,343946_1288825,2022,0.0,83.62815686273098,0.2155173862208537
924,924,343946_1313825,2022,0.0,-828.5447843137372,-1.7621429196640337
925,925,343946_1338825,2022,0.0,565.9651764705777,1.2702172446114712
926,926,343946_1363825,2022,0.0,945.5606274509773,2.2808853193917233
927,927,343946_1388825,2022,0.0,-59.817411764655844,-0.15536141376852886
928,928,343946_1413825,2022,0.9217923276930542,-231.86415686274995,-0.6214234225530357
929,929,343946_1438825,2022,0.0,1132.2776862745013,3.056353683554458
930,930,343946_1463825,2022,0.0,-137.30976470588575,-0.51156957648546
931,931,343946_1488825,2022,0.0,-2114.725215686267,-11.177530820181513
932,932,343946_1513825,2022,0.0,-2795.728509803919,-24.192533783765768
933,933,343946_1538825,2022,0.0,-1145.581725490194,-15.796805908521849
934,934,343946_1563825,2022,0.0886810938644819,691.549960784314,22.120085061329476
935,935,343946_1588825,2022,0.042426459973614,-897.7621176470575,-13.92327378838445
936,936,343946_1613825,2022,0.0,-214.64050980392312,-2.613879422635923
937,937,343946_1638825,2022,0.0,-473.67447058823427,-10.474810929460599
938,938,368946_1113825,2022,0.0,-705.1884313725568,-3.876044258492939
939,939,368946_1138825,2022,0.0,-593.323294117632,-1.2044646158928085
940,940,368946_1163825,2022,0.0,-1396.191529411757,-2.8075154636800326
941,941,368946_1188825,2022,0.0,-2849.584941176465,-8.72489706928128
942,942,368946_1213825,2022,0.2599239883900585,-2750.5819607843296,-5.947252110028057
943,943,368946_1238825,2022,1.3396947793253189,-1048.0124313725537,-3.912715904258468
944,944,368946_1263825,2022,0.0,-475.1917647058872,-1.8140156515305206
945,945,368946_1288825,2022,0.0,-219.03074509803264,-0.6039818514898987
946,946,368946_1313825,2022,0.0675704297395159,-1286.254039215688,-2.6481813155023293
947,947,368946_1338825,2022,0.0491817307223456,-406.1968235293971,-0.7996951306490363
948,948,368946_1363825,2022,0.0,262.72400000000926,0.7880999194542104
949,949,368946_1388825,2022,0.0,-1705.9602745098127,-5.032293895648143
950,950,368946_1413825,2022,0.0,-1478.5056078431353,-12.008516649424617
951,951,368946_1438825,2022,0.0,-977.5135686274534,-5.739094830497759
952,952,368946_1463825,2022,0.2810350119984415,79.88686274510837,0.2595040790127179
