,tile_id,year,conflict_intensity
334,543946_1388825,2020,0.0
335,543946_1413825,2020,2.538056440809962
336,543946_1438825,2020,2.4869519502434363
337,543946_1463825,2020,0.44459404871589375
338,543946_1488825,2020,2.458206835876204
339,543946_1513825,2020,1.9978226197145619
340,543946_1538825,2020,0.0
341,543946_1563825,2020,0.5436459262487282
342,543946_1588825,2020,19.508656360970125
343,543946_1613825,2020,5.32892867620551
344,543946_1638825,2020,0.0
345,568946_988825,2020,0.0
346,568946_1013825,2020,0.0
347,568946_1038825,2020,0.0
348,568946_1063825,2020,0.0
349,568946_1088825,2020,0.0
350,568946_1113825,2020,0.057916597067657845
351,568946_1138825,2020,0.0
352,568946_1163825,2020,0.0
353,568946_1188825,2020,0.0
354,568946_1213825,2020,0.0
355,568946_1238825,2020,0.07495847076273844
356,568946_1263825,2020,0.04078287969733884
357,568946_1288825,2020,0.0
358,568946_1313825,2020,0.0
359,568946_1338825,2020,0.09254718033411116
360,568946_1363825,2020,0.1306347496116185
361,568946_1388825,2020,0.0
362,568946_1413825,2020,0.0
363,568946_1438825,2020,0.0
364,568946_1463825,2020,0.0
365,568946_1488825,2020,0.0
366,568946_1513825,2020,0.0
367,568946_1538825,2020,0.0
368,568946_1563825,2020,0.0
369,568946_1588825,2020,0.4395192736029857
370,568946_1613825,2020,0.0
371,568946_1638825,2020,0.0
372,593946_1038825,2020,0.0
373,593946_1063825,2020,0.0
374,593946_1088825,2020,0.0
375,593946_1113825,2020,0.11126172391003486
376,593946_1138825,2020,0.04178762120689257
377,593946_1163825,2020,0.0
378,593946_1188825,2020,0.0
379,593946_1213825,2020,0.0
380,593946_1238825,2020,0.7361937316900503
381,593946_1263825,2020,0.5965490202058537
382,593946_1288825,2020,0.0
383,593946_1313825,2020,0.0
384,593946_1338825,2020,0.0
385,593946_1413825,2020,0.0
386,593946_1438825,2020,0.0
387,593946_1613825,2020,0.0
388,93946_1313825,2021,0.0
389,93946_1338825,2021,0.0
390,93946_1363825,2021,0.0
391,93946_1388825,2021,0.0
392,118946_1313825,2021,0.0
393,118946_1338825,2021,0.0
394,118946_1363825,2021,0.0
395,118946_1388825,2021,0.0
396,118946_1413825,2021,0.0
397,143946_1338825,2021,0.0
398,143946_1363825,2021,0.0
399,143946_1388825,2021,0.0
400,143946_1413825,2021,0.0
401,143946_1438825,2021,0.0
402,168946_1313825,2021,0.07333609130440795
403,168946_1338825,2021,0.0
404,168946_1363825,2021,0.0
405,168946_1388825,2021,0.0
406,168946_1413825,2021,7.895042148559352
407,168946_1438825,2021,3.184006756549809
408,168946_1463825,2021,0.618673211921516
409,168946_1488825,2021,0.0
410,168946_1513825,2021,0.0
411,168946_1538825,2021,0.0
412,193946_1163825,2021,0.0
413,193946_1188825,2021,0.0
414,193946_1213825,2021,0.0417963245678508
415,193946_1238825,2021,0.0
416,193946_1263825,2021,0.0
417,193946_1288825,2021,0.35841083896029735
418,193946_1313825,2021,0.07756181964699764
419,193946_1338825,2021,0.0
420,193946_1363825,2021,0.0
421,193946_1388825,2021,0.0
422,193946_1413825,2021,2.4472406688094104
423,193946_1438825,2021,0.7609708825482154
424,193946_1463825,2021,0.5431066705857488
425,193946_1488825,2021,0.0
426,193946_1513825,2021,0.0
427,193946_1538825,2021,0.0
428,193946_1563825,2021,0.0
429,193946_1588825,2021,0.0
430,218946_1163825,2021,0.0
431,218946_1188825,2021,0.0
432,218946_1213825,2021,0.08330597315394435
433,218946_1238825,2021,0.06649631030969301
434,218946_1263825,2021,0.0
435,218946_1288825,2021,1.6926436573169008
436,218946_1313825,2021,0.3528983836425713
437,218946_1338825,2021,0.0
438,218946_1363825,2021,0.0
439,218946_1388825,2021,0.0
440,218946_1413825,2021,0.0
441,218946_1438825,2021,0.0
442,218946_1463825,2021,0.0
443,218946_1488825,2021,0.0
444,218946_1513825,2021,0.0
445,218946_1538825,2021,0.0
446,218946_1563825,2021,0.0
447,218946_1588825,2021,7.044771599951603
448,243946_1163825,2021,0.0
449,243946_1188825,2021,0.0
450,243946_1213825,2021,0.0
451,243946_1238825,2021,0.0
452,243946_1263825,2021,0.0
453,243946_1288825,2021,0.0
454,243946_1313825,2021,0.0
455,243946_1338825,2021,0.0
456,243946_1363825,2021,0.0
457,243946_1388825,2021,0.0
458,243946_1413825,2021,0.0
459,243946_1438825,2021,0.0
460,243946_1463825,2021,0.0
461,243946_1488825,2021,0.0
462,243946_1513825,2021,0.0
463,243946_1538825,2021,0.0
464,243946_1563825,2021,0.0
465,243946_1588825,2021,3.394994619869665
466,268946_1138825,2021,0.0
467,268946_1163825,2021,0.0
468,268946_1188825,2021,0.0
469,268946_1213825,2021,0.0
470,268946_1238825,2021,0.0
471,268946_1263825,2021,0.0
472,268946_1288825,2021,0.0
473,268946_1313825,2021,0.0
474,268946_1338825,2021,0.0
475,268946_1363825,2021,0.0
476,268946_1388825,2021,2.9400068017093943
477,268946_1413825,2021,2.7263195243697136
478,268946_1438825,2021,0.0
479,268946_1463825,2021,0.0
480,268946_1488825,2021,0.0
481,268946_1513825,2021,0.0
482,268946_1538825,2021,0.0
483,268946_1563825,2021,0.0
484,268946_1588825,2021,0.0
485,293946_1113825,2021,0.0
486,293946_1138825,2021,0.0
487,293946_1163825,2021,0.0
488,293946_1188825,2021,0.24245620241126167
489,293946_1213825,2021,0.10601390965857493
490,293946_1238825,2021,0.0
491,293946_1263825,2021,0.0
492,293946_1288825,2021,1.1664525059118698
493,293946_1313825,2021,0.0
494,293946_1338825,2021,0.0
495,293946_1363825,2021,0.0
496,293946_1388825,2021,2.1124162607178194
497,293946_1413825,2021,2.0281593773996414
498,293946_1438825,2021,0.0
499,293946_1463825,2021,0.0
500,293946_1488825,2021,0.0
501,293946_1513825,2021,0.0
502,293946_1538825,2021,0.0
503,293946_1563825,2021,0.0
504,293946_1588825,2021,0.45956792663565815
505,293946_1613825,2021,0.0
506,318946_1113825,2021,0.0
507,318946_1138825,2021,0.0
508,318946_1163825,2021,0.0
509,318946_1188825,2021,0.0886687545952744
510,318946_1213825,2021,0.0
511,318946_1238825,2021,0.0
512,318946_1263825,2021,0.0
513,318946_1288825,2021,2.1313917560828757
514,318946_1313825,2021,1.1507923623083682
515,318946_1338825,2021,0.1927692403285461
516,318946_1363825,2021,0.0
517,318946_1388825,2021,0.0
518,318946_1413825,2021,0.0
519,318946_1438825,2021,0.0
520,318946_1463825,2021,0.0
521,318946_1488825,2021,0.0
522,318946_1513825,2021,0.0
523,318946_1538825,2021,0.0
524,318946_1563825,2021,4.457973828445867
525,318946_1588825,2021,4.670100127096752
526,318946_1613825,2021,0.0
527,343946_1088825,2021,0.0
528,343946_1113825,2021,0.0
529,343946_1138825,2021,0.0
530,343946_1163825,2021,0.0
531,343946_1188825,2021,0.0
532,343946_1213825,2021,0.0
533,343946_1238825,2021,0.0
534,343946_1263825,2021,0.0
535,343946_1288825,2021,0.0
536,343946_1313825,2021,0.2030454569885624
537,343946_1338825,2021,0.2483649772171139
538,343946_1363825,2021,0.0
539,343946_1388825,2021,0.0
540,343946_1413825,2021,0.0
541,343946_1438825,2021,10.27536983100517
542,343946_1463825,2021,7.191934021857294
543,343946_1488825,2021,5.319994422919555
544,343946_1513825,2021,0.4038930633199465
545,343946_1538825,2021,3.671532121159121
546,343946_1563825,2021,2.8873048794564915
547,343946_1588825,2021,2.783522074662514
548,343946_1613825,2021,0.0
549,343946_1638825,2021,0.0
550,368946_1113825,2021,0.0
551,368946_1138825,2021,0.0
552,368946_1163825,2021,0.0
553,368946_1188825,2021,0.0
554,368946_1213825,2021,0.0
555,368946_1238825,2021,0.0
556,368946_1263825,2021,0.0
557,368946_1288825,2021,0.0
558,368946_1313825,2021,0.0
559,368946_1338825,2021,0.0
560,368946_1363825,2021,0.0
561,368946_1388825,2021,0.0
562,368946_1413825,2021,0.0
563,368946_1438825,2021,7.353851949699326
564,368946_1463825,2021,22.18104833689769
565,368946_1488825,2021,43.72821732036262
566,368946_1513825,2021,0.9105192278452359
567,368946_1538825,2021,0.5111217026800794
568,368946_1563825,2021,0.0
569,368946_1588825,2021,0.9455020062054169
570,368946_1613825,2021,1.577870894872342
571,368946_1638825,2021,0.0
572,393946_1113825,2021,0.0
573,393946_1138825,2021,0.0
574,393946_1163825,2021,0.0
575,393946_1188825,2021,0.0
576,393946_1213825,2021,0.0
577,393946_1238825,2021,0.0
578,393946_1263825,2021,0.0
579,393946_1288825,2021,1.3248812067527378
580,393946_1313825,2021,6.851681833937491
581,393946_1338825,2021,0.893294862440297
582,393946_1363825,2021,0.0
583,393946_1388825,2021,0.0
584,393946_1413825,2021,0.0
585,393946_1438825,2021,1.0305375043108136
586,393946_1463825,2021,0.6038583086244854
587,393946_1488825,2021,5.366069225975333
588,393946_1513825,2021,59.309994329312396
589,393946_1538825,2021,14.191149629037287
590,393946_1563825,2021,1.3492343070849664
591,393946_1588825,2021,3.234519159744289
592,393946_1613825,2021,1.9316853591984309
593,393946_1638825,2021,0.0
594,418946_1138825,2021,0.0
595,418946_1163825,2021,0.0
596,418946_1188825,2021,0.0
597,418946_1213825,2021,0.0
598,418946_1238825,2021,0.0
599,418946_1263825,2021,0.0
600,418946_1288825,2021,1.6752075298946711
601,418946_1313825,2021,17.494446451885477
602,418946_1338825,2021,4.8338609866414455
603,418946_1363825,2021,0.0
604,418946_1388825,2021,0.0
605,418946_1413825,2021,0.0
606,418946_1438825,2021,0.0
